Entity ID,Overall Time (s),Time in A1 (s)
9eecbc935a0024c7665abb2107ec0597,2.0,2.0
db9fda485c7a9f2f602462efae588d28,1.0,0
c630572e2477537aac36d458fe9577a1,1.5,0
4d9fa13218404971dc93532fbcf5d4a6,1.0,1.0
c9dac8a7c487601889cfd98f73edad2c,1.0,0
400e65ae299a145a5bb06d99104a14ac,1.5,0
c9b36707fb40a9766ba8b466e7e49f9e,1.5,0
1501f4af8a6a7496bf1bc38d137cf850,1.0,0
a940a6ccd2d4a461684992a3a9d8db72,1.0,0
c5f95132f88512971ecbd6a7e36657e8,1.5,0
ccd55d05590c9ea3a95b78ebad1fa1e4,1.5,0
4ee148bb3588df8f83bc49bbda8abbeb,1.5,0
3410cb823de9045a2003e5ddfd2f95c2,2.0,0
82ba59e4e9d937279ac3dd8c2347c352,1.0,1.0
e53920bf6098a59b1ba03f6f0fca2c36,1.0,0
4e2dcdc55c18776cda36eaa8ee30cb0b,6.5,0
517c73b3e8cc70ca59174fb75c61e8c2,1.0,0
224835471a5b181c68a57b868bfb5fb5,1.0,0
4d4c396b45cda1e8c7d9ba6383188217,1.0,0
53501d86268df1e8f2992dcfaa6740ce,2.5,0
be5170282723f7800e57d66b5bbc044f,2.0,0
ca5739216b882a56b4f04a04371b0ae3,1.0,0
26b092fa9605621ab07202966f462869,1.5,0
154eb0c2d91e16db7b7231bf0d46ecc1,1.0,0
9815210c6ce6aa2462b05fde107c6ea4,1.0,0
d0858f2a8cadfa3006a98e70400b51c3,1.5,1.5
e6be1f0a4b6e3c8d3bdc6735e622df41,1.0,0
0fd8a77d9f53c2f342d7f71fff3e370e,1.0,0
985cec3e8b0c3b776fa622c28e447666,1.0,0
18c0f57145765f02cb4eacabccf8dc1e,1.0,0
5c2a4c147b415ccafc03b509bb5becc1,1.5,0
79e2aa6ef1dd0b89ab67b6dae54fa64a,1.5,0
5608f26e04a825a55b4bbdaf63fdc20d,1.0,0
aad7ed2461c3365bd87484773a663357,1.5,0
836b15eaa5b71878e18c277c901ea8c7,1.0,1.0
080ca8f1947bb0224fffab6b91ec6efe,1.0,0
f388c8c4c61c3c62a3b9a61557ee9cc1,1.5,0
e2ce3811d00f72fedc7d3382411ede30,2.0,0
25ef3396d65463b582463b54ed6ba7a3,1.0,0
bd96f92d3f7b5c2865227b7e215b3c25,1.0,0
cdaa2829898e2b428b6d8373fa7d6292,2.0,0
cd06ff48ab29a58a72bd80e6f9279d39,1.0,0
8767a9233ccaa654810105de078d8abb,1.0,0
df37158f87d4c2c00e87b665675385fd,2.5,0
bb2b4559f2507bf64fd964f869116dda,1.5,0
a7fbbed9941f623968e015cf3ae56016,1.0,0
284ab0b4b00b99f13d41fc65bbf9ba40,1.0,0
f8ea591058eba2169843466673e7d5cc,1.0,0
3ca82f9fd1aca45244f3a621974c9bf8,1.0,0
5670df2e487d423872a15206ea427590,1.0,0
